,date,A2C_account,PPO_account,DDPG_account,SAC_account,TD3_account
0,2022-01-03,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0
1,2022-01-04,10107732.225,9971677.669,10367010.055,10294120.175,10154723.025
2,2022-01-05,10114382.225,10052646.109,10680765.5335,10544335.7405,10334788.975
3,2022-01-06,10042782.225,10192711.4315,11076960.5335,10839170.7405,10597528.8805
4,2022-01-07,10085032.225,10241980.5965,11506695.5335,11204825.7405,10935713.8805
5,2022-01-10,10214982.225,10117684.2915,11364740.5335,11115160.7405,10851108.8805
6,2022-01-11,10326982.225,10094469.671500001,11723975.5335,11402215.7405,11115993.8805
7,2022-01-12,10539932.225,10170144.679000001,12302595.5335,11879425.7405,11562763.8805
8,2022-01-13,10768682.225,10291852.364,12032920.5335,11745500.7405,11458138.8805
9,2022-01-14,10657682.225,10244900.978,11452135.5335,11275845.7405,11006903.8805
10,2022-01-17,10627682.225,10143327.940000001,11311465.5335,11167985.7405,10900533.8805
11,2022-01-18,10480382.225,10031919.6505,11114755.5335,10903755.7405,10639473.8805
12,2022-01-19,10431232.225,10001186.06,10499085.5335,10359895.7405,10134053.8805
13,2022-01-20,10383032.225,10025567.7225,11144610.5335,10933070.7405,10666328.8805
14,2022-01-21,10305832.225,9896718.910500001,11116615.5335,10772285.7405,10496083.8805
15,2022-01-24,10025732.225,9791295.961000001,10770215.5335,10432685.7405,10178433.8805
16,2022-01-25,9761532.225,9574250.046,10357490.5335,10069810.7405,9838658.8805
17,2022-01-26,9877582.225,9650104.246000001,10665055.5335,10308255.7405,10054923.8805
18,2022-01-27,9552882.225,9388867.641,9865730.5335,9582030.7405,9360298.8805
19,2022-01-28,9827632.225,9652204.7785,10293780.5335,9996080.7405,9766998.8805
20,2022-02-03,9873832.225,9717157.311,10861480.5335,10490180.7405,10233148.8805
21,2022-02-04,10132082.225,9941858.6435,10868070.5335,10523650.7405,10274238.8805
22,2022-02-07,10150782.225,9928805.0335,10280065.5335,10051485.7405,9841883.8805
23,2022-02-08,9991132.225,9829639.6335,9945055.5335,9779855.7405,9588923.8805
24,2022-02-09,10285382.225,10003555.966,9835185.5335,9713695.7405,9533003.8805
25,2022-02-10,10359132.225,9936677.471,10596345.5335,10294925.7405,10060213.8805
26,2022-02-11,10383882.225,9998709.3135,10175340.5335,9938260.7405,9728608.8805
27,2022-02-14,10160382.225,9782376.911,9958710.5335,9727170.7405,9526978.8805
28,2022-02-15,10100782.225,9748384.9685,10015190.5335,9743060.7405,9531208.8805
29,2022-02-16,10305482.225,9940395.8335,10473395.5335,10197575.7405,9965713.8805
30,2022-02-17,10321882.225,9983502.9135,10278315.5335,10020685.7405,9807083.8805
31,2022-02-18,10241132.225,9910825.741,10114425.5335,9911815.7405,9703243.8805
32,2022-02-21,10266432.225,9992666.146,9923580.5335,9765880.7405,9569448.8805
